Attiny85:1
BT1:1
C1:1
C2:1
D1:1
D3:1
D4:1
D5:1
D6:1
G***:1
J1:1
J2:1
J3:1
Q1:1
R1:1
R2:1
REF**:9
SW1:1
SW2:1
SW3:1
U1:1
